Sebastian Berhalter,19,Columbus Crew SC,Midfielder,"Westerville, OH",3
Robert Beric,29,Chicago Fire FC,Forward,"Krsko, Slovenia, International",13
Miguel Berry,23,Columbus Crew SC,Forward,"Poway, CA",7
Matt Bersano,28,San Jose Earthquakes,Goalkeeper,"Tempe, AZ",12
Nick Besler,27,Real Salt Lake,Midfielder,"Overland Park, KS",11
Matt Besler,33,Sporting Kansas City,Defender,"Overland Park, KS",17
Janio Bikel,25,Vancouver Whitecaps FC,Midfielder,"Bissau, Guinea-Bissau, International",9
Everton Luiz,32,Real Salt Lake,Midfielder,"Bissau, Guinea-Bissau, International",16
Noah Billingsley,23,Minnesota United FC,Defender,"Wellington, New Zealand, International",7
David Bingham,31,LA Galaxy,Goalkeeper,"Pleasanton, CA",15
Luis Binks,19,Montreal Impact,Defender,"Pleasanton, CA",3
Steven Birnbaum,29,D.C. United,Defender,"Irvine, CA",13
Jose Bizama,26,Houston Dynamo FC,Defender,"Curanilahue, Chile, International",10
Tristan Blackmon,24,Los Angeles Football Club,Defender,"Las Vegas, NV",8
Andre Blake,30,Philadelphia Union,Goalkeeper,"May Pen, Jamaica, International",14
Sebastian Blanco,32,Portland Timbers,Midfielder,"May Pen, Jamaica, International",16
Latif Blessing,23,Los Angeles Football Club,Midfielder,"Accra, Ghana, International",7
Emmanuel Boateng,26,Columbus Crew SC,Midfielder,"Accra, Ghana, International",10
Blake Bodily,22,Portland Timbers,Midfielder,"Accra, Ghana, International",6
Isaac Boehmer,19,Vancouver Whitecaps FC,Goalkeeper,"Okanagan Falls, BC",3
Pablo Bonilla,21,Portland Timbers,Defender,"Okanagan Falls, BC",5
Alex Bono,26,Toronto FC,Goalkeeper,"Baldwinsville, NY",10
Jonathan Bornstein,36,Chicago Fire FC,Defender,"Los Alamitos, CA",20
Gustavo Bou,30,New England Revolution,Forward,"Concordia, Argentina, International",14
Michael Boxall,32,Minnesota United FC,Defender,"Auckland, New Zealand, International",16
Michael Bradley,33,Toronto FC,Midfielder,"Auckland, New Zealand, International",17
Chris Brady,16,Chicago Fire FC,Goalkeeper,"Auckland, New Zealand, International",0
Zachary Brault-Guillard,21,Montreal Impact,Defender,"Lyon, France, International",5
Bressan,27,FC Dallas,Defender,"Caxias do Sul, Brazil, International",11
Frederic Brillant,35,D.C. United,Defender,"Sedan, France, International",19
Brandt Bronico,25,Chicago Fire FC,Midfielder,"Sedan, France, International",9
Will Bruin,31,Seattle Sounders FC,Forward,"St. Louis, MT",15
Tajon Buchanan,21,New England Revolution,Forward,"Brampton, ON",5
Adam Buksa,24,New England Revolution,Forward,"Krakow, Poland, International",8
Teal Bunbury,30,New England Revolution,Forward,"Prior Lake, MN",14
Nkosi Burgess,23,FC Dallas,Defender,"Manhattan, NY",7
Cory Burke,28,Philadelphia Union,Forward,"Kingston, Jamaica, International",12
Evan Bush,34,Vancouver Whitecaps FC,Goalkeeper,"Concord Township, OH",18
Gianluca Busio,18,Sporting Kansas City,Midfielder,"Greensboro, NC",2
Alexander Buttner,31,New England Revolution,Defender,"Doetinchem, Netherlands, International",15
Handwalla Bwana,21,Nashville SC,Midfielder,"Seattle, WA",5
Brandon Bye,25,New England Revolution,Defender,"Portage, MI",9
Victor Cabrera,27,Houston Dynamo FC,Defender,"Lules, Argentina, International",11
Chris Cadden,24,Columbus Crew SC,Defender,"Bellshill, Scotland, International",8
Jhonder Cadiz,25,Nashville SC,Forward,"Caracas, Venezuela, International",9
Luis Alberto Caicedo,24,New England Revolution,Midfielder,"Apartadó, Colombia, International",8
Scott Caldwell,29,New England Revolution,Midfielder,"Braintree, MA",13
